,,"GeneID","Length","Min4vsCtrl","Min8vsCtrl","Min15vsCtrl","Min30vsCtrl","Hr1vsCtrl","Hr2vsCtrl","Hr4vsCtrl","Hr8vsCtrl","Hr16vsCtrl","CtrlHr16vsCtrl","AveExpr","F","P.Value","adj.P.Val"
,"80824",80824,6887,-0.094481623707615,-0.254886506894842,-0.041351465239552,-0.500817410858443,-0.118249705097709,-0.651051440628722,-1.35072891025703,-0.711849077877322,-0.333855785799539,0.586363918148111,4.07999415422671,42.505799098592,2.67E-14,1.65E-11
,"6574",6574,3438,-0.197522190644468,-0.242431185431815,-0.141905057230127,-0.642545296659405,-0.210360853464532,-0.423247628551524,-0.455485549353542,-0.126598754052821,0.268913536579701,0.268762539185836,7.69915492498022,41.3144212214504,3.86E-14,2.28E-11
,"7128",7128,5322,-0.127180310988754,-0.489732627500854,-0.205049473032369,-0.076830008841469,0.44969412108826,0.963414629898016,0.648159304404071,-0.163510169498398,0.062052126929706,1.24909237212775,4.68016796639737,41.1477812831628,4.06E-14,2.30E-11
,"57727",57727,3243,0.311722639995865,0.198090306353865,0.262044608992246,0.358835343118606,0.245181062372218,0.575946345533999,1.3475921588613,0.762419740412496,0.421146888327407,-0.260523222495814,5.56102069179671,40.9233070571467,4.36E-14,2.37E-11
,"4837",4837,1578,-0.009310522264703,0.083516402049852,-0.040769104865883,0.526888370546432,0.053291766318751,0.385638834768739,-0.167658778418361,-1.31919139071886,-1.39126701951496,0.000663335261801,4.1400071407818,40.7509127021749,4.60E-14,2.41E-11
,"5292",5292,2709,-0.523859560702364,-0.440195587497262,-0.481326286576349,-0.797884312700579,-0.391784595569187,-0.57116454377688,-1.46804213392486,-0.765426366962527,-0.671296109784944,0.646169533810245,3.94294299159885,39.5250780147919,6.82E-14,3.43E-11
,"144455",144455,5784,-0.25232259342462,-0.427996558974827,-0.235336175244678,-0.706335469778492,-0.297884677062804,-0.516332117837425,0.422521386795936,0.28084286083368,0.159051661457166,0.485599972311008,6.84880628370071,39.0861448948225,7.88E-14,3.67E-11
,"51154",51154,2658,0.124996576670195,0.249507230876675,0.220058068057557,0.451976577066649,0.232575311908504,0.567691307416731,0.59878455022402,0.606455969634635,0.205510812208207,-0.561577865473476,6.94661096689466,39.038240814447,8.00E-14,3.67E-11
,"5144",5144,13466,-0.141723112640705,-0.199207617892516,-0.055049350840247,0.026616036746542,-0.050398080344508,-0.539608106640083,-1.77796344084664,-1.01569513093895,-0.72492896334704,-0.155926128388546,5.81635722332976,38.9985028384801,8.11E-14,3.67E-11
,"157638",157638,5481,-0.144636199455921,-0.103866877827226,-0.197829724539818,-0.602439784426575,-0.134520505209131,-0.585087705634698,-0.810746763150967,-0.297238421997174,-0.190680007858059,0.711362483497443,5.36276501312838,37.8685021656158,1.18E-13,5.18E-11
